dataset,batch_size,seed_size,acq_name,clf,rep,trial_idx,iter_idx,train_size,score,init,ts
agnews,500,500,real,BERT,BERT,1,7,4500,0.934581141364897,init_random,2024-03-11 21:29:26.725042
agnews,500,500,real,BERT,BERT,1,8,5000,0.9364552979566498,init_random,2024-03-11 22:19:52.562627
agnews,500,500,real,BERT,BERT,2,-1,500,0.900478539161246,init_random,2024-03-13 14:14:57.092461
agnews,500,500,real,BERT,BERT,2,0,1000,0.914517117320314,init_random,2024-03-13 14:34:12.418141
agnews,500,500,real,BERT,BERT,2,1,1500,0.9115498126014776,init_random,2024-03-13 14:57:12.446477
agnews,500,500,real,BERT,BERT,2,2,2000,0.9138588154388588,init_random,2024-03-13 15:23:31.241056
agnews,500,500,real,BERT,BERT,2,3,2500,0.9171353662683368,init_random,2024-03-13 15:53:57.977544
agnews,500,500,real,BERT,BERT,2,4,3000,0.9224351771626376,init_random,2024-03-13 16:28:34.928787
agnews,500,500,real,BERT,BERT,2,5,3500,0.9318617744473572,init_random,2024-03-13 17:07:57.224618
agnews,500,500,real,BERT,BERT,2,6,4000,0.92561893023962,init_random,2024-03-13 17:50:31.787146
agnews,500,500,real,BERT,BERT,2,7,4500,0.9329885004833212,init_random,2024-03-13 18:37:24.215487
agnews,500,500,real,BERT,BERT,2,8,5000,0.9320082821953508,init_random,2024-03-13 19:28:53.114982
dbpedia5,500,500,cal,BERT,BERT,0,-1,500,0.9856091887226376,init_random,2024-03-08 22:03:53.264732
dbpedia5,500,500,cal,BERT,BERT,0,0,1000,0.9876035852453532,init_random,2024-03-08 22:32:57.278212
dbpedia5,500,500,cal,BERT,BERT,0,1,1500,0.985212893962324,init_random,2024-03-08 23:08:52.528817
dbpedia5,500,500,cal,BERT,BERT,0,2,2000,0.9864009251638368,init_random,2024-03-08 23:50:01.847730
dbpedia5,500,500,cal,BERT,BERT,0,3,2500,0.988212107571282,init_random,2024-03-09 00:37:37.950020
dbpedia5,500,500,cal,BERT,BERT,0,4,3000,0.9870067527670188,init_random,2024-03-09 01:26:30.264959
dbpedia5,500,500,cal,BERT,BERT,0,5,3500,0.9874008982327152,init_random,2024-03-09 02:22:42.143953
dbpedia5,500,500,cal,BERT,BERT,0,6,4000,0.9878113500088131,init_random,2024-03-09 03:17:31.392752
dbpedia5,500,500,cal,BERT,BERT,0,7,4500,0.9882065233060288,init_random,2024-03-09 04:14:37.593372
dbpedia5,500,500,cal,BERT,BERT,0,8,5000,0.9882043638470756,init_random,2024-03-09 05:10:47.243608
dbpedia5,500,500,cal,BERT,BERT,1,-1,500,0.9788376645912312,init_random,2024-03-13 14:14:44.674149
dbpedia5,500,500,cal,BERT,BERT,1,0,1000,0.9844149094522926,init_random,2024-03-13 14:33:40.974741
dbpedia5,500,500,cal,BERT,BERT,1,1,1500,0.9874095056080142,init_random,2024-03-13 14:57:14.066691
dbpedia5,500,500,cal,BERT,BERT,1,2,2000,0.9882108435303392,init_random,2024-03-13 15:24:37.555395
dbpedia5,500,500,cal,BERT,BERT,1,3,2500,0.9888068654213384,init_random,2024-03-13 15:54:31.546964
dbpedia5,500,500,cal,BERT,BERT,1,4,3000,0.9874084131746064,init_random,2024-03-13 16:28:35.814795
dbpedia5,500,500,cal,BERT,BERT,1,5,3500,0.9892054839384696,init_random,2024-03-13 17:07:33.423272
dbpedia5,500,500,cal,BERT,BERT,1,6,4000,0.9878163970125068,init_random,2024-03-13 17:50:04.562753
dbpedia5,500,500,cal,BERT,BERT,1,7,4500,0.988195252028124,init_random,2024-03-13 18:36:53.581376
dbpedia5,500,500,cal,BERT,BERT,1,8,5000,0.9882076193443916,init_random,2024-03-13 19:26:32.241433
dbpedia5,500,500,cal,BERT,BERT,2,-1,500,0.98061062152619,init_random,2024-03-14 20:11:38.794403
